34664535856;848982590;Lucas Gabriel Vieira;23/06/4787;Sao Paulo
82830525604;936307915;Pietro Araujo;18/08/1711;Rio de Janeiro
88972828653;962222458;Joao Pedro Costela;14/03/3858;Brasilia
51117495868;870394404;Juliana das Neves;11/01/8391;Salvador
79369060960;136390301;Ana Carolina Martins;14/10/7961;Fortaleza
97795031293;433178362;Erick da Mata;11/01/8998;Belo Horizonte
37107114441;642028835;Ana Julia Rezende;31/10/8022;Manaus
03204417760;751712404;Rafaela Dias;25/07/4361;Curitiba
46563341977;966820724;Barbara Cavalcanti;23/10/9516;Recife
96503774680;956766148;Luiz Gustavo da Cruz;08/05/6317;Goiania
25860224753;871796723;Sarah Correia;19/04/2678;Belem
44419778830;182289112;Julia Fernandes;12/02/5037;Porto Alegre
40091691095;747122483;Fernando Novaes;31/12/0717;Guarulhos
76564755597;383859604;Julia Pires;13/10/0036;Campinas
55429508845;659202615;Larissa Nascimento;27/11/2898;Sao Luis
55063007783;361263058;Daniela Costela;29/11/4786;Sao Goncalo
56352875220;996578633;Samuel Lima;01/10/6729;Maceio
14832465740;910508320;Pedro Lucas Nogueira;24/04/1099;Duque de Caxias
01825492913;161682579;Cecilia Vieira;08/06/0711;Campo Grande
56612040009;024917910;Marcelo Fernandes;06/09/1514;Natal
66024294425;638415926;Luiz Henrique Moreira;02/03/3471;Teresina
13465752740;014394849;Eloah da Costa;06/06/3808;Sao Bernardo do Campo
45219579860;094293114;Isabella da Mota;03/06/7803;Joao Pessoa
29369487204;583176421;Enzo Correia;19/12/2185;Nova Iguacu
95568662800;443684572;Ana Livia Moraes;30/07/4443;Sao Jose dos Campos
48132716850;581559590;Diogo Caldeira;08/09/2651;Santo Andre
81465861475;139304738;Daniela Rocha;24/02/2772;Ribeirao Preto
80009589457;874076375;Otavio Costa;14/04/1826;Jaboatao dos Guararapes
94356854632;396929804;Manuela Rodrigues;06/02/9147;Uberlandia
98000183285;608886819;Gabrielly da Mata;23/07/1971;Osasco
22514788099;758437861;Lucas Gabriel Dias;17/05/1291;Sorocaba
15157511396;959842734;Manuela Cavalcanti;29/07/9826;Contagem
98332158583;916303378;Srta. Manuela da Rocha;30/08/5109;Aracaju
92268967476;988485131;Vitor Gabriel Dias;12/01/4169;Feira de Santana
15360410760;254939386;Augusto Pereira;25/01/0267;Cuiaba
29228992840;748522502;Maria Julia Dias;03/06/1234;Joinville
44313336141;197676358;Vicente Costela;26/07/6725;Aparecida de Goiania
51732934037;756073839;Daniel Rezende;31/07/7546;Londrina
92679018508;410237564;Maria Luiza Ramos;28/03/4776;Juiz de Fora
26162915840;866749476;Pedro Henrique Moraes;29/06/8440;Porto Velho
09915896964;820479464;Amanda Vieira;29/04/6775;Ananindeua
63092802101;842711662;Manuela Sales;14/07/4540;Serra
54463032539;528701835;Livia da Mata;29/05/1053;Caxias do Sul
28214863910;132058490;Sophie Campos;25/06/5161;Macapa
33566489344;152410448;Joaquim Ferreira;25/09/8614;Niteroi
34206140553;807681881;Luiz Otavio Cardoso;07/10/0323;Florianopolis
70126475075;264073091;Emanuel Almeida;23/08/6204;Belford Roxo
90298061686;177269564;Bernardo Campos;03/08/5941;Campos dos Goytacazes
68406308621;020812847;Lorenzo Teixeira;06/04/3838;Vila Velha
87759050518;250074154;Emanuella Cardoso;21/09/2200;Maua
68992001711;172419447;Calebe Alves;01/06/6238;Sao Joao de Meriti
68082990058;264814478;Rebeca Freitas;12/07/0123;Sao Jose do Rio Preto
73279932661;580443666;Thales Cunha;24/07/8036;Mogi das Cruzes
53456408404;597579806;Benjamin Alves;04/09/9651;Betim
51875823050;539010884;Joao Lucas Castro;04/07/4746;Boa Vista
29817218520;095479499;Sabrina da Mota;24/07/9926;Maringa
37642046995;300512616;Joao Vitor Pires;02/08/8247;Santos
48582162928;753243872;Mariane da Cunha;08/06/5586;Diadema
09829057348;660296057;Maria Cecilia Melo;02/08/8883;Jundiai
91771892218;463889957;Joao Felipe Ribeiro;07/06/2105;Rio Branco
98054846452;518288613;Helena Goncalves;03/01/6160;Montes Claros
68404291489;644394205;Nicolas Silveira;05/01/3930;Campina Grande
43716276928;427202873;Ryan Rocha;07/09/1760;Piracicaba
58027720184;942163317;Melissa Pinto;10/08/6376;Carapicuiba
64498254996;062233971;Maria Luiza da Mota;19/05/5654;Anapolis
25262289991;062693874;Henrique Rocha;26/06/4228;Olinda
06465217562;752274026;Thomas Barbosa;19/07/8497;Cariacica
89161291250;383509551;Arthur Duarte;09/03/0871;Bauru
92523148498;034540435;Theo Ramos;22/03/4473;Itaquaquecetuba
32055687026;310239948;Levi Pires;02/02/8679;Sao Vicente
69393975825;110687434;Raquel Lopes;29/04/6918;Vitoria
48394964044;929158956;Davi Lucca Costela;25/03/8512;Caruaru
66588197853;961105423;Natalia Farias;02/05/7984;Caucaia
48374076410;073858628;Maria Cecilia Martins;29/11/1291;Blumenau
61258794101;224000563;Alexia da Rosa;01/12/0987;Petrolina
46721983249;374848982;Joao Guilherme Fernandes;29/07/8616;Ponta Grossa
24338465522;166401056;Helena da Cruz;23/10/9889;Franca
93850525783;638222552;Srta. Maria Clara Correia;30/08/9094;Canoas
99364059190;705497329;Srta. Livia Fernandes;22/03/9361;Pelotas
89754734305;207203260;Anthony Oliveira;21/07/6760;Vitoria da Conquista
77916714680;411351974;Helena Fernandes;12/04/9723;Ribeirao das Neves
80896109003;018143444;Barbara Goncalves;21/12/4538;Uberaba
55471150104;307303998;Calebe Moura;05/11/1782;Paulista
31892072670;355687946;Maria Cecilia Cunha;14/06/9233;Praia Grande
31037917120;544252986;Ana Vitoria Sales;03/10/4129;Cascavel
29825034173;841369003;Giovanna Goncalves;22/01/1150;Sao Jose dos Pinhais
06770756692;261981190;Thiago Ferreira;06/02/1289;Guaruja
98154698609;722431452;Maria Julia Barros;19/10/2986;Taubate
58284156547;157920815;Breno Moraes;03/05/7497;Palmas
30036052671;845440468;Ana Sophia da Mata;29/07/0260;Limeira
32749537762;095086801;Camila Lima;02/10/0456;Camacari
63536176828;850045680;Luiz Gustavo Farias;15/02/1231;Santarem
15984441667;020688572;Agatha da Conceicao;27/03/2682;Petropolis
09283468970;665642855;Bianca Viana;18/05/4647;Mossoro
76757757672;200244476;Luiz Miguel Fogaca;31/12/7884;Suzano
02134306572;666688042;Rebeca Jesus;16/10/3592;Taboao da Serra
30767347501;354515847;Vitor Lima;16/12/4487;Varzea Grande
85271041646;185807151;Marina da Cruz;02/11/9132;Sumare
46800155942;414541203;Joao Lucas Lopes;16/10/3699;Maraba
08574930008;107955798;Alicia Costa;14/07/8361;Gravatai
